Date,Predicted_Close
5/6/2025,8957.644
5/7/2025,8967.152
5/8/2025,8961.978
5/9/2025,8951.84
5/10/2025,8940.792
5/11/2025,8931.071
5/12/2025,8923.905
5/13/2025,8919.794
5/14/2025,8918.695
5/15/2025,8920.215
5/16/2025,8923.752
5/17/2025,8928.641
5/18/2025,8934.244
5/19/2025,8940.019
5/20/2025,8945.549
5/21/2025,8950.558
5/22/2025,8954.896
5/23/2025,8958.528
5/24/2025,8961.492
5/25/2025,8963.887
5/26/2025,8965.834
5/27/2025,8967.465
5/28/2025,8968.899
5/29/2025,8970.239
5/30/2025,8971.562
5/31/2025,8972.92
6/1/2025,8974.342
6/2/2025,8975.839
6/3/2025,8977.408
6/4/2025,8979.035
