,Predicted_Close
2025-05-06,8918.724
2025-05-07,8871.784
2025-05-08,8825.307
2025-05-09,8789.45
2025-05-10,8763.647
2025-05-11,8744.448
2025-05-12,8728.284
2025-05-13,8712.606
2025-05-14,8696.11
2025-05-15,8678.467
2025-05-16,8659.932
2025-05-17,8640.976
2025-05-18,8622.049
2025-05-19,8603.465
2025-05-20,8585.381
2025-05-21,8567.829
2025-05-22,8550.767
2025-05-23,8534.117
2025-05-24,8517.804
2025-05-25,8501.767
2025-05-26,8485.963
2025-05-27,8470.369
2025-05-28,8454.975
2025-05-29,8439.773
2025-05-30,8424.764
2025-05-31,8409.946
2025-06-01,8395.319
2025-06-02,8380.881
2025-06-03,8366.629
2025-06-04,8352.562
